"","X","Date","Stream","Reach","Transect","Quadrat","Order","Family","Count","Size"
"60",60,"3/11/2022","NM",3,5,2,"Ephemeroptera","Baetidae",1,5
"61",61,"3/11/2022","NM",3,5,2,"Ephemeroptera","Baetidae",1,5
"62",62,"3/11/2022","NM",3,5,2,"Ephemeroptera","Baetidae",1,5
"63",63,"3/11/2022","NM",3,5,2,"Ephemeroptera","Baetidae",1,5
"64",64,"3/11/2022","NM",3,5,2,"Ephemeroptera","Baetidae",1,5
"65",65,"3/11/2022","NM",3,5,2,"Ephemeroptera","Baetidae",1,1
"66",66,"3/11/2022","NM",3,5,2,"Trichoptera","Philopotamidae",1,5
"67",67,"3/11/2022","NM",3,4,1,"Plecoptera","Perlidae ",1,10
"68",68,"3/11/2022","NM",3,4,1,"Plecoptera","Perlidae ",1,10
"69",69,"3/11/2022","NM",3,4,1,"Plecoptera","Perlidae ",1,5
"70",70,"3/11/2022","NM",3,4,1,"Plecoptera","Perlidae ",1,5
"71",71,"3/11/2022","NM",3,4,1,"Plecoptera","Perlidae ",1,5
"72",72,"3/11/2022","NM",3,4,1,"Plecoptera","Perlidae ",1,10
"73",73,"3/11/2022","NM",3,4,1,"Ephemeroptera","Heptageniidae",1,5
"74",74,"3/11/2022","NM",3,4,1,"Ephemeroptera","Heptageniidae",1,5
"75",75,"3/11/2022","NM",3,4,1,"Ephemeroptera","Heptageniidae",1,5
"76",76,"3/11/2022","NM",3,4,1,"Ephemeroptera","Heptageniidae",1,1
"77",77,"3/11/2022","NM",3,4,1,"Plecoptera","Perlodidae",1,5
"78",78,"3/11/2022","NM",3,4,1,"Ephemeroptera","Baetidae",1,5
"79",79,"3/11/2022","NM",5,4,2,"Ephemeroptera","Heptageniidae",1,1
"80",80,"3/11/2022","NM",5,4,2,"Ephemeroptera","Heptageniidae",1,1
"81",81,"3/11/2022","NM",5,4,2,"Ephemeroptera","Heptageniidae",1,5
"82",82,"3/11/2022","NM",5,4,2,"Ephemeroptera","Heptageniidae",1,5
"83",83,"3/11/2022","NM",5,4,2,"Ephemeroptera","Heptageniidae",1,5
"84",84,"3/11/2022","NM",5,4,2,"PLecoptera","Perlodidae",1,5
"85",85,"3/11/2022","NM",5,4,2,"PLecoptera","Leuctridae",1,5
"86",86,"3/11/2022","NM",5,4,2,"Ephemeroptera","Baetidae",1,1
"87",87,"3/11/2022","NM",5,4,2,"Ephemeroptera","Baetidae",1,1
"88",88,"3/11/2022","NM",5,4,2,"Ephemeroptera","Baetidae",1,5
"89",89,"3/11/2022","NM",2,1,2,"Ephemeroptera","Leptohyphidae",1,5
"90",90,"3/11/2022","NM",2,1,2,"PLecoptera","Perlodidae",1,10
"91",91,"3/11/2022","NM",3,5,1,"plecoptera","Perlidae ",1,10
"92",92,"3/11/2022","NM",3,5,1,"Ephemeroptera","Heptageniidae",1,5
"93",93,"3/11/2022","NM",3,5,1,"Ephemeroptera","Heptageniidae",1,1
"94",94,"3/11/2022","NM",3,5,1,"Ephemeroptera","Heptageniidae",1,5
"95",95,"3/11/2022","NM",3,5,1,"Ephemeroptera","Heptageniidae",1,1
"96",96,"3/11/2022","NM",3,5,1,"Trichoptera","Hydropsychidae",1,5
"97",97,"3/11/2022","NM",3,5,1,"Ephemeroptera","Leptophlebiidae",1,5
"98",98,"3/11/2022","NM",3,5,1,"Ephemeroptera","Leptohyphidae",1,5
"99",99,"3/11/2022","NM",3,5,1,"Ephemeroptera","Baetidae",1,5
"100",100,"3/11/2022","NM",3,5,1,"Ephemeroptera","Baetidae",1,1
"101",101,"3/11/2022","NM",5,1,1,"plecoptera","Perlidae ",1,10
"102",102,"3/11/2022","NM",5,1,1,"Ephemeroptera","Heptageniidae",1,5
"103",103,"3/11/2022","NM",5,1,1,"Ephemeroptera","Heptageniidae",1,5
"104",104,"3/11/2022","NM",5,1,1,"Ephemeroptera","Heptageniidae",1,5
"105",105,"3/11/2022","NM",5,1,1,"Ephemeroptera","Heptageniidae",1,1
"106",106,"3/11/2022","NM",5,1,1,"Ephemeroptera","Heptageniidae",1,5
"107",107,"3/11/2022","NM",5,1,1,"Ephemeroptera","Heptageniidae",1,5
"108",108,"3/11/2022","NM",5,1,1,"Ephemeroptera","Heptageniidae",1,1
"109",109,"3/11/2022","NM",5,1,1,"Ephemeroptera","Heptageniidae",1,1
"110",110,"3/11/2022","NM",5,1,1,"Ephemeroptera","Heptageniidae",1,5
"111",111,"3/11/2022","NM",5,1,1,"Ephemeroptera","Heptageniidae",1,5
"112",112,"3/11/2022","NM",5,1,1,"plecoptera","Perlodidae",1,5
"113",113,"3/11/2022","NM",5,1,1,"plecoptera","Perlodidae",1,5
"114",114,"3/11/2022","NM",5,1,1,"Ephemeroptera","Leptohyphidae",1,5
"115",115,"3/11/2022","NM",5,1,1,"Ephemeroptera","Leptohyphidae",1,5
"116",116,"3/10/2022","NM",1,2,2,"plecoptera","Perlodidae",1,5
"117",117,"3/10/2022","NM",1,2,2,"plecoptera","Perlodidae",1,5
"118",118,"3/10/2022","NM",1,2,2,"plecoptera","Perlodidae",1,5
"119",119,"3/10/2022","NM",1,2,2,"plecoptera","Perlidae ",1,10
"120",120,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,5
"121",121,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,5
"122",122,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,5
"123",123,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,5
"124",124,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,5
"125",125,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,1
"126",126,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,1
"127",127,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,5
"128",128,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,5
"129",129,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,5
"130",130,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,5
"131",131,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,5
"132",132,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,5
"133",133,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,5
"134",134,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,5
"135",135,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,5
"136",136,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,5
"137",137,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,5
"138",138,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,5
"139",139,"3/10/2022","NM",1,2,2,"Ephemeroptera","Heptageniidae",1,5
"140",140,"3/10/2022","NM",1,2,2,"Ephemeroptera","Baetidae",1,5
"141",141,"3/10/2022","NM",1,2,2,"Ephemeroptera","Baetidae",1,5
"142",142,"3/10/2022","NM",1,2,2,"Ephemeroptera","Baetidae",1,5
"143",143,"3/10/2022","NM",1,2,2,"Ephemeroptera","Baetidae",1,5
"144",144,"3/10/2022","NM",1,2,2,"Ephemeroptera","Baetidae",1,5
"145",145,"3/10/2022","NM",1,2,2,"Ephemeroptera","Baetidae",1,5
"146",146,"3/10/2022","NM",1,2,2,"Ephemeroptera","Leptohyphidae",1,5
"147",147,"3/10/2022","NM",1,2,2,"Ephemeroptera","Leptophlebiidae",1,1
"148",148,"3/10/2022","NM",1,2,2,"Trichoptera","Dipseudopsidae",1,5
"149",149,"3/10/2022","NM",1,1,2,"Ephemeroptera","Heptageniidae",1,1
"150",150,"3/10/2022","NM",1,1,2,"Ephemeroptera","Heptageniidae",1,1
"151",151,"3/10/2022","NM",1,1,2,"Ephemeroptera","Heptageniidae",1,5
"152",152,"3/10/2022","NM",1,1,2,"Ephemeroptera","Leptophlebiidae",1,5
"153",153,"3/10/2022","NM",1,1,2,"Ephemeroptera","Leptophlebiidae",1,5
"154",154,"3/10/2022","NM",1,4,2,"Ephemeroptera","Heptageniidae",1,5
"155",155,"3/10/2022","NM",1,4,2,"Ephemeroptera","Heptageniidae",1,1
"156",156,"3/10/2022","NM",1,4,2,"Ephemeroptera","Leptophlebiidae",1,5
"157",157,"3/11/2022","NM",2,1,1,"Ephemeroptera","baetidae",1,1
"158",158,"3/11/2022","NM",2,1,1,"plecoptera","Perlodidae",1,1
"159",159,"3/11/2022","NM",2,5,2,"Ephemeroptera","Heptageniidae",1,5
"160",160,"3/11/2022","NM",2,5,2,"Ephemeroptera","baetidae",1,1
"161",161,"3/20/2022","SM ",4,1,1,"Ephemeroptera","Heptageniidae",1,10
"162",162,"3/20/2022","SM ",4,1,1,"Ephemeroptera","Heptageniidae",1,10
"163",163,"3/20/2022","SM ",4,1,1,"Ephemeroptera","Heptageniidae",1,5
"164",164,"3/20/2022","SM ",4,1,1,"Ephemeroptera","Heptageniidae",1,5
"165",165,"3/20/2022","SM ",4,1,1,"Ephemeroptera","Heptageniidae",1,5
"166",166,"3/20/2022","SM ",4,1,1,"Ephemeroptera","Ephemerellidae",1,5
"167",167,"3/20/2022","SM ",4,1,1,"Ephemeroptera","Leptohyphidae",1,10
"168",168,"3/20/2022","SM",2,1,1,"Plecoptera","Perlidae",1,5
"169",169,"3/20/2022","SM",2,1,1,"Ephemoptera","Heptageniidae",1,5
"170",170,"3/20/2022","SM",2,1,1,"Ephemoptera","Heptageniidae",6,5
"171",171,"3/20/2022","SM",2,1,1,"Ephemoptera","Heptageniidae",1,1
"172",172,"3/20/2022","SM",2,1,1,"Ephemoptera","Leptophlebiidae",1,5
"173",173,"3/20/2022","SM",2,1,1,"Trichoptera","Hydropsychidae ",2,5
"174",174,"3/20/2022","SM",2,1,1,"Trichoptera","Rhyacophilidae",1,5
"175",175,"2/26/2022","NM",2,2,2,"Ephemoptera","Heptageniidae",1,10
"176",176,"2/26/2022","NM",2,2,2,"Ephemoptera","Heptageniidae",1,5
"177",177,"2/26/2022","NM",2,2,2,"Plecoptera","Perlodidae",1,5
"178",178,"2/26/2022","NM",2,2,2,"Ephemoptera","Leptophlebiidae",2,5
"179",179,"3/11/2022","NM",5,4,1,"Ephemoptera","Heptageniidae",4,1
"180",180,"3/11/2022","NM",5,4,1,"Ephemoptera","Heptageniidae",3,5
"181",181,"3/11/2022","NM",5,4,1,"Ephemoptera","Baetidae",2,5
"182",182,"3/11/2022","NM",5,4,1,"Plecoptera","Perlidae",1,5
"183",183,"3/11/2022","NM",5,4,1,"Plecoptera","Chloroperlidae",1,5
"184",184,"3/11/2022","NM",5,4,1,"Trichoptera","Rhyacophilidae",1,5
"185",185,"3/11/2022","NM",3,4,2,"Ephemoptera","Heptageniidae",1,1
"186",186,"3/11/2022","NM",3,4,2,"Ephemoptera","Heptageniidae",1,5
"187",187,"3/11/2022","NM",3,4,2,"Ephemoptera","Heptageniidae",1,1
"188",188,"3/11/2022","NM",3,4,2,"Ephemoptera","Heptageniidae",1,1
"189",189,"3/11/2022","NM",3,4,2,"Ephemoptera","Heptageniidae",1,1
"190",190,"3/11/2022","NM",3,4,2,"Ephemoptera","Ephemerellidae",1,1
"191",191,"3/11/2022","NM",3,4,2,"Ephemoptera","Leptophlebiidae",1,1
"192",192,"3/11/2022","NM",3,4,2,"Plecoptera","Perlodidae",1,1
"193",193,"3/11/2022","NM",3,4,2,"Plecoptera","Capniidae",1,1
"194",194,"3/11/2022","NM",3,4,2,"Trichoptera","Philopotamidae",1,1
"195",195,"3/11/2022","NM",3,2,1,"Ephemeroptera","Heptageniidae",1,10
"196",196,"3/11/2022","NM",3,2,1,"Ephemeroptera","Heptageniidae",1,10
"197",197,"3/11/2022","NM",3,2,1,"Ephemeroptera","Heptageniidae",1,5
"198",198,"3/11/2022","NM",3,2,1,"Ephemeroptera","Heptageniidae",1,5
"199",199,"3/11/2022","NM",3,2,1,"Ephemeroptera","Heptageniidae",1,5
"200",200,"3/11/2022","NM",3,2,1,"Ephemeroptera","Heptageniidae",1,1
"201",201,"3/11/2022","NM",3,2,1,"Ephemeroptera","Heptageniidae",1,1
"202",202,"3/11/2022","NM",3,2,1,"Ephemeroptera","Heptageniidae",1,1
"203",203,"3/11/2022","NM",3,2,1,"Ephemeroptera","Heptageniidae",1,1
"204",204,"3/11/2022","NM",3,2,1,"Ephemeroptera","Heptageniidae",1,1
"205",205,"3/11/2022","NM",3,2,1,"Ephemeroptera","Heptageniidae",1,1
"206",206,"3/11/2022","NM",3,2,1,"Ephemeroptera","Heptageniidae",1,1
"207",207,"3/11/2022","NM",3,2,1,"Ephemeroptera","Heptageniidae",1,1
"208",208,"3/11/2022","NM",3,2,1,"Ephemeroptera","Heptageniidae",1,1
"209",209,"3/11/2022","NM",3,2,1,"Ephemeroptera","Heptageniidae",1,1
"210",210,"3/11/2022","NM",3,2,1,"Ephemeroptera","Heptageniidae",1,1
"211",211,"3/11/2022","NM",3,2,1,"Ephemeroptera","Heptageniidae",1,1
"212",212,"3/11/2022","NM",3,2,1,"Ephemeroptera","Leptophlebiidae",1,1
"213",213,"3/11/2022","NM",3,2,1,"Ephemeroptera","Leptophlebiidae",1,1
"214",214,"3/11/2022","NM",3,2,1,"Ephemeroptera","Leptophlebiidae",1,1
"215",215,"3/11/2022","NM",3,2,1,"Ephemeroptera","Leptophlebiidae",1,1
"216",216,"3/11/2022","NM",3,2,1,"Plecoptera","Perlodidae",1,1
"217",217,"3/11/2022","NM",3,2,1,"Plecoptera","Perlodidae",1,1
"218",218,"3/11/2022","NM",3,2,1,"Plecoptera","Perlodidae",1,1
"219",219,"3/11/2022","NM",3,2,1,"Plecoptera","Perlodidae",1,1
"220",220,"3/11/2022","NM",3,2,1,"Plecoptera","Perlidae",1,1
"221",221,"3/11/2022","NM",2,3,1,"Ephemeroptera","Leptophlebiidae",1,1
"222",222,"3/11/2022","NM",2,3,1,"Plecoptera","Perlodidae",1,1
"223",223,"3/11/2022","NM",2,3,1,"Trichoptera","Philopotamidae",1,1
"224",224,"3/11/2022","NM",3,1,2,"Ephemeroptera","Heptageniidae",1,5
"225",225,"3/11/2022","NM",3,1,2,"Ephemeroptera","Heptageniidae",1,1
"226",226,"3/11/2022","NM",3,1,2,"Ephemeroptera","Heptageniidae",1,1
"227",227,"3/11/2022","NM",3,1,2,"Ephemeroptera","Heptageniidae",1,1
"228",228,"3/11/2022","NM",3,1,2,"Ephemeroptera","Heptageniidae",1,1
"229",229,"3/11/2022","NM",3,1,2,"Ephemeroptera","Heptageniidae",1,1
"230",230,"3/11/2022","NM",3,1,2,"Ephemeroptera","Heptageniidae",1,1
"231",231,"3/11/2022","NM",3,1,2,"Ephemeroptera","Leptophlebiidae",1,1
"232",232,"3/11/2022","NM",3,1,2,"Ephemeroptera","Leptohyphidae",1,1
"233",233,"3/11/2022","NM",3,1,2,"Plecoptera","Perlidae",1,5
"234",234,"3/11/2022","NM",3,1,2,"Plecoptera","Perlodidae",1,1
"235",235,"3/11/2022","NM",3,1,2,"Plecoptera","Perlodidae",1,1
"236",236,"3/11/2022","NM",3,1,2,"Trichoptera","Philopotamidae",1,1
"237",237,"3/10/2022","NM",4,5,2,"Ephemeroptera","Heptageniidae",1,1
"238",238,"3/10/2022","NM",4,5,2,"Ephemeroptera","Heptageniidae",1,1
"239",239,"3/10/2022","NM",4,5,2,"Ephemeroptera","Heptageniidae",1,1
"240",240,"3/10/2022","NM",4,5,2,"Ephemeroptera","Heptageniidae",1,1
"241",241,"3/10/2022","NM",4,5,2,"Ephemeroptera","Heptageniidae",1,1
"242",242,"3/10/2022","NM",4,5,2,"Ephemeroptera","Heptageniidae",1,1
"243",243,"3/10/2022","NM",4,5,2,"Ephemeroptera","Heptageniidae",1,1
"244",244,"3/10/2022","NM",4,5,2,"Ephemeroptera","Heptageniidae",1,1
"245",245,"3/10/2022","NM",4,5,2,"Ephemeroptera","Heptageniidae",1,1
"246",246,"3/10/2022","NM",4,5,2,"Ephemeroptera","Heptageniidae",1,1
"247",247,"3/10/2022","NM",4,5,2,"Ephemeroptera","Heptageniidae",1,1
"248",248,"3/10/2022","NM",4,5,2,"Ephemeroptera","Heptageniidae",1,1
"249",249,"3/10/2022","NM",4,5,2,"Ephemeroptera","Caenidae",1,1
"250",250,"3/10/2022","NM",4,5,2,"Ephemeroptera","Caenidae",1,1
"251",251,"3/10/2022","NM",4,5,2,"Trichoptera","Dipseudopsidae",1,1
"252",252,"3/10/2022","NM",4,5,2,"Trichoptera","Dipseudopsidae",1,1
"253",253,"3/10/2022","NM",4,5,2,"Trichoptera","Philopotamidae",1,1
"254",254,"3/10/2022","NM",4,5,2,"Plecoptera","Perlodidae",1,1
"255",255,"3/11/2022","NM",2,2,1,"Ephemeroptera","Heptageniidae",1,1
"256",256,"3/11/2022","NM",2,2,1,"Ephemeroptera","Heptageniidae",1,1
"257",257,"3/11/2022","NM",2,2,1,"Ephemeroptera","Heptageniidae",1,10
"258",258,"3/11/2022","NM",2,2,1,"Ephemeroptera","Leptophlebiidae",1,1
"259",259,"3/11/2022","NM",2,2,1,"Plecoptera","Perlodidae",1,1
"260",260,"2/20/2022","SM",5,3,1,"Plecoptera","Perlodidae",1,1
"261",261,"2/20/2022","SM",5,3,1,"Plecoptera","Perlodidae",1,1
"262",262,"2/20/2022","SM",3,1,1,"Plecoptera","Pteronarcyidae",1,1
"263",263,"2/20/2022","SM ",3,1,1,"Ephemeroptera","Heptageniidae",1,1
"264",264,"2/20/2022","SM",2,4,1,"Ephemeroptera","Heptageniidae",1,1
"265",265,"2/20/2022","SM",2,4,1,"Ephemeroptera","Heptageniidae",1,1
"266",266,"2/20/2022","SM",2,4,1,"Plecoptera","Perlodidae",1,5
"267",267,"2/20/2022","SM",2,4,1,"Plecoptera","Perlodidae",1,1
"268",268,"2/20/2022","SM",2,4,1,"Plecoptera","Perlodidae",1,1
"269",269,"2/20/2022","SM",4,4,2,"Trichoptera","Brachycentridae",1,1
"270",270,"2/20/2022","SM",4,4,2,"Trichoptera","Brachycentridae",1,5
"271",271,"2/20/2022","SM",4,4,2,"Ephemeroptera","Neoephemeridae",1,5
"272",272,"2/20/2022","SM",4,4,2,"Ephemeroptera","Neoephemeridae",1,5
"273",273,"2/20/2022","SM",4,4,2,"Ephemeroptera","Heptageniidae",1,5
"274",274,"2/20/2022","SM",4,4,2,"Ephemeroptera","Heptageniidae",1,1
"275",275,"2/20/2022","SM",4,4,2,"Ephemeroptera","Heptageniidae",1,1
"276",276,"2/20/2022","SM",4,4,2,"Ephemeroptera","Heptageniidae",1,1
"277",277,"2/20/2022","SM",4,4,2,"Ephemeroptera","Heptageniidae",1,1
"278",278,"2/20/2022","SM",4,4,2,"Ephemeroptera","Heptageniidae",1,1
"279",279,"2/20/2022","SM",4,4,2,"Plecoptera","perlidae",1,5
"280",280,"2/20/2022","SM",4,4,2,"Plecoptera","Nemouridae",1,10
"281",281,"2/20/2022","SM",4,4,2,"Plecoptera","Perlodidae",1,1
"282",282,"2/20/2022","SM",4,4,2,"Plecoptera","Perlodidae",1,1
"283",283,"2/20/2022","SM",4,4,2,"Plecoptera","Perlodidae",1,1
"284",284,"2/20/2022","SM",4,4,2,"Plecoptera","Perlodidae",1,1
"285",285,"2/20/2022","SM",4,4,2,"Plecoptera","Perlodidae",1,1
"286",286,"2/20/2022","SM",4,4,2,"Plecoptera","Perlidae",1,1
"287",287,"2/20/2022","SM",4,4,2,"Plecoptera","Perlidae",1,1
"288",288,"2/20/2022","SM",4,4,2,"Plecoptera","Perlidae",1,1
"289",289,"2/20/2022","SM",4,4,2,"Trichoptera","Philopotamidae",1,1
"290",290,"2/20/2022","SM",2,3,2,"trichoptera","Glossosomatidae",1,1
"291",291,"2/20/2022","SM",2,3,2,"Ephemeroptera","Heptageniidae",1,1
"292",292,"2/20/2022","SM",2,3,2,"Ephemeroptera","Heptageniidae",1,1
"293",293,"2/20/2022","SM",2,3,2,"Ephemeroptera","Heptageniidae",1,1
"294",294,"2/20/2022","SM",2,3,2,"Plecoptera","Perlodidae",1,1
"295",295,"2/20/2022","SM",3,5,2,"Trichoptera","Odontoceridae",1,1
"296",296,"2/20/2022","SM",3,5,2,"Ephemeroptera","Heptageniidae",1,1
"297",297,"2/20/2022","SM",3,5,2,"Ephemeroptera","Heptageniidae",1,1
"298",298,"2/20/2022","SM",3,5,2,"Ephemeroptera","Heptageniidae",1,1
"299",299,"2/20/2022","SM",3,5,2,"Plecoptera","Perlidae",1,1
"300",300,"2/20/2022","SM",3,5,2,"Plecoptera","Perlodidae",1,1
"301",301,"2/20/2022","SM",3,5,2,"Plecoptera","Perlodidae",1,1
"302",302,"2/20/2022","SM",3,1,2,"Ephemeroptera","Heptageniidae",1,5
"303",303,"2/20/2022","SM",3,1,2,"Ephemeroptera","Heptageniidae",1,1
"304",304,"2/20/2022","SM",3,1,2,"Plecoptera","Perlodidae",1,10
"305",305,"2/20/2022","SM",3,1,2,"Plecoptera","Perlodidae",1,1
"306",306,"2/20/2022","SM",4,3,2,"Trichoptera","Brachycentridae",1,5
"307",307,"2/20/2022","SM",4,3,2,"Trichoptera","Dipseudopsidae",1,1
"308",308,"2/20/2022","SM",4,3,2,"Plecoptera","Perlidae",1,1
"309",309,"2/20/2022","SM",1,3,2,"Ephemeroptera","Heptageniidae",1,1
"310",310,"2/20/2022","SM",1,3,2,"Ephemeroptera","Heptageniidae",1,1
"311",311,"2/20/2022","SM",1,3,2,"Trichoptera","Hydroptilidae",1,1
"312",312,"2/20/2022","SM",1,5,2,"Trichoptera","Brachycentridae",1,5
"313",313,"2/20/2022","SM",1,5,2,"Trichoptera","Hydropsychidae ",1,1
"314",314,"2/20/2022","SM",1,5,2,"Trichoptera","Philopotamidae",1,1
"315",315,"2/20/2022","SM",1,5,2,"Plecoptera","Perlodidae",1,1
"316",316,"2/20/2022","SM",1,5,2,"Plecoptera","Perlodidae",1,1
"317",317,"2/20/2022","SM",1,5,2,"Plecoptera","Perlidae",1,1
"318",318,"2/20/2022","SM",1,2,1,"Ephemeroptera","Heptageniidae",1,5
"319",319,"2/20/2022","SM",1,2,1,"Ephemeroptera","Heptageniidae",1,1
"320",320,"2/20/2022","SM",1,2,1,"Ephemeroptera","Heptageniidae",1,1
"321",321,"2/20/2022","SM",1,2,1,"Ephemeroptera","Heptageniidae",1,1
"322",322,"2/20/2022","SM",1,2,1,"Ephemeroptera","Heptageniidae",1,1
"323",323,"2/20/2022","SM",1,2,1,"Ephemeroptera","Heptageniidae",1,1
